"Var1"	"Var2"	"Var3"	"Freq"
"136"	"31"	"nonMRW"	"ADV"	31
"137"	"32"	"nonMRW"	"ADV"	44
"138"	"33"	"nonMRW"	"ADV"	41
"139"	"34"	"nonMRW"	"ADV"	57
"140"	"35"	"nonMRW"	"ADV"	42
"141"	"1"	"MRW"	"AP"	29
"142"	"2"	"MRW"	"AP"	27
"143"	"3"	"MRW"	"AP"	23
"144"	"4"	"MRW"	"AP"	12
"145"	"5"	"MRW"	"AP"	21
"146"	"6"	"MRW"	"AP"	33
"147"	"7"	"MRW"	"AP"	29
"148"	"8"	"MRW"	"AP"	21
"149"	"9"	"MRW"	"AP"	30
"150"	"10"	"MRW"	"AP"	25
"151"	"11"	"MRW"	"AP"	11
"152"	"12"	"MRW"	"AP"	30
"153"	"13"	"MRW"	"AP"	11
"154"	"14"	"MRW"	"AP"	33
"155"	"15"	"MRW"	"AP"	19
"156"	"16"	"MRW"	"AP"	28
"157"	"17"	"MRW"	"AP"	16
"158"	"18"	"MRW"	"AP"	27
"159"	"19"	"MRW"	"AP"	31
"160"	"20"	"MRW"	"AP"	29
"161"	"21"	"MRW"	"AP"	17
"162"	"22"	"MRW"	"AP"	35
"163"	"23"	"MRW"	"AP"	34
"164"	"24"	"MRW"	"AP"	24
"165"	"25"	"MRW"	"AP"	34
"166"	"26"	"MRW"	"AP"	23
"167"	"27"	"MRW"	"AP"	19
"168"	"28"	"MRW"	"AP"	12
"169"	"29"	"MRW"	"AP"	15
"170"	"30"	"MRW"	"AP"	17
"171"	"31"	"MRW"	"AP"	14
"172"	"32"	"MRW"	"AP"	20
"173"	"33"	"MRW"	"AP"	31
"174"	"34"	"MRW"	"AP"	27
"175"	"35"	"MRW"	"AP"	6
"176"	"1"	"nonMRW"	"AP"	7
"177"	"2"	"nonMRW"	"AP"	30
"178"	"3"	"nonMRW"	"AP"	26
"179"	"4"	"nonMRW"	"AP"	22
"180"	"5"	"nonMRW"	"AP"	17
"181"	"6"	"nonMRW"	"AP"	25
"182"	"7"	"nonMRW"	"AP"	19
"183"	"8"	"nonMRW"	"AP"	34
"184"	"9"	"nonMRW"	"AP"	23
"185"	"10"	"nonMRW"	"AP"	15
"186"	"11"	"nonMRW"	"AP"	35
"187"	"12"	"nonMRW"	"AP"	30
"188"	"13"	"nonMRW"	"AP"	22
"189"	"14"	"nonMRW"	"AP"	23
"190"	"15"	"nonMRW"	"AP"	32
"191"	"16"	"nonMRW"	"AP"	24
"192"	"17"	"nonMRW"	"AP"	14
"193"	"18"	"nonMRW"	"AP"	27
"194"	"19"	"nonMRW"	"AP"	14
"195"	"20"	"nonMRW"	"AP"	33
"196"	"21"	"nonMRW"	"AP"	31
"197"	"22"	"nonMRW"	"AP"	35
"198"	"23"	"nonMRW"	"AP"	25
"199"	"24"	"nonMRW"	"AP"	16
"200"	"25"	"nonMRW"	"AP"	14
"201"	"26"	"nonMRW"	"AP"	37
"202"	"27"	"nonMRW"	"AP"	12
"203"	"28"	"nonMRW"	"AP"	25
"204"	"29"	"nonMRW"	"AP"	37
"205"	"30"	"nonMRW"	"AP"	32
"206"	"31"	"nonMRW"	"AP"	21
"207"	"32"	"nonMRW"	"AP"	26
"208"	"33"	"nonMRW"	"AP"	33
"209"	"34"	"nonMRW"	"AP"	29
"210"	"35"	"nonMRW"	"AP"	27
"211"	"1"	"MRW"	"ART"	6
"212"	"2"	"MRW"	"ART"	1
"213"	"3"	"MRW"	"ART"	0
"214"	"4"	"MRW"	"ART"	5
"215"	"5"	"MRW"	"ART"	2
"216"	"6"	"MRW"	"ART"	2
"217"	"7"	"MRW"	"ART"	1
"218"	"8"	"MRW"	"ART"	1
"219"	"9"	"MRW"	"ART"	0
"220"	"10"	"MRW"	"ART"	3
"221"	"11"	"MRW"	"ART"	0
"222"	"12"	"MRW"	"ART"	0
"223"	"13"	"MRW"	"ART"	0
"224"	"14"	"MRW"	"ART"	0
"225"	"15"	"MRW"	"ART"	1
"226"	"16"	"MRW"	"ART"	4
"227"	"17"	"MRW"	"ART"	4
"228"	"18"	"MRW"	"ART"	0
"229"	"19"	"MRW"	"ART"	7
"230"	"20"	"MRW"	"ART"	0
"231"	"21"	"MRW"	"ART"	0
"232"	"22"	"MRW"	"ART"	0
"233"	"23"	"MRW"	"ART"	1
"234"	"24"	"MRW"	"ART"	2
"235"	"25"	"MRW"	"ART"	2
"236"	"26"	"MRW"	"ART"	0
"237"	"27"	"MRW"	"ART"	2
"238"	"28"	"MRW"	"ART"	1
"239"	"29"	"MRW"	"ART"	0
"240"	"30"	"MRW"	"ART"	0
"241"	"31"	"MRW"	"ART"	0
"242"	"32"	"MRW"	"ART"	0
"243"	"33"	"MRW"	"ART"	0
"244"	"34"	"MRW"	"ART"	1
"245"	"35"	"MRW"	"ART"	0
"246"	"1"	"nonMRW"	"ART"	39
"247"	"2"	"nonMRW"	"ART"	60
"248"	"3"	"nonMRW"	"ART"	48
"249"	"4"	"nonMRW"	"ART"	24
"250"	"5"	"nonMRW"	"ART"	33
"251"	"6"	"nonMRW"	"ART"	63
"252"	"7"	"nonMRW"	"ART"	58
"253"	"8"	"nonMRW"	"ART"	62
"254"	"9"	"nonMRW"	"ART"	49
"255"	"10"	"nonMRW"	"ART"	34
"256"	"11"	"nonMRW"	"ART"	56
"257"	"12"	"nonMRW"	"ART"	55
"258"	"13"	"nonMRW"	"ART"	35
"259"	"14"	"nonMRW"	"ART"	50
"260"	"15"	"nonMRW"	"ART"	52
"261"	"16"	"nonMRW"	"ART"	59
"262"	"17"	"nonMRW"	"ART"	46
"263"	"18"	"nonMRW"	"ART"	59
"264"	"19"	"nonMRW"	"ART"	70
"265"	"20"	"nonMRW"	"ART"	85
"266"	"21"	"nonMRW"	"ART"	64
"267"	"22"	"nonMRW"	"ART"	60
"268"	"23"	"nonMRW"	"ART"	68
